Hour,Date/hour start,Solar electricity generation (kWh),Electricity usage (kWh),excess_solar_generation_kwh,battery_charge_kwh
0,2020-01-01 00:00,0.0,1.509849,0.0,0.0
1,2020-01-01 01:00,0.0,1.4118588,0.0,0.0
2,2020-01-01 02:00,0.0,1.0238976,0.0,0.0
3,2020-01-01 03:00,0.0,0.642,0.0,0.0
4,2020-01-01 04:00,0.0,0.96,0.0,0.0
5,2020-01-01 05:00,0.012,0.897,0.0,0.0
6,2020-01-01 06:00,0.006,0.648,0.0,0.0
7,2020-01-01 07:00,0.009,0.774,0.0,0.0
8,2020-01-01 08:00,0.012,1.299,0.0,0.0
9,2020-01-01 09:00,0.8459999999999999,0.6060000000000001,0.23999999999999977,0.23999999999999977
10,2020-01-01 10:00,0.0,0.0,0.0,0.23999999999999977
11,2020-01-01 11:00,0.0,0.0,0.0,0.23999999999999977
12,2020-01-01 12:00,0.651,0.396,0.255,0.4949999999999998
13,2020-01-01 13:00,0.363,0.615,0.0,0.4949999999999998
14,2020-01-01 14:00,0.303,1.419,0.0,0.4949999999999998
15,2020-01-01 15:00,0.159,1.4369999999999998,0.0,0.4949999999999998
16,2020-01-01 16:00,0.081,3.1049999999999995,0.0,0.4949999999999998
17,2020-01-01 17:00,0.006,-12.624,12.63,12.5
18,2020-01-01 18:00,0.0,8.929800000000002,0.0,12.5
19,2020-01-01 19:00,0.021,2.2176,0.0,12.5
20,2020-01-01 20:00,0.003,4.4286,0.0,12.5
21,2020-01-01 21:00,0.003,6.789,0.0,12.5
22,2020-01-01 22:00,0.006,1.806,0.0,12.5
23,2020-01-01 23:00,0.0,0.9359064,0.0,12.5
0,2020-01-02 00:00,0.0,0.7339266,0.0,12.5
1,2020-01-02 01:00,0.0,0.3079691999999999,0.0,12.5
2,2020-01-02 02:00,0.0,0.1979802,0.0,12.5
3,2020-01-02 03:00,0.0,0.267,0.0,12.5
4,2020-01-02 04:00,0.0,0.162,0.0,12.5
5,2020-01-02 05:00,0.012,0.2159999999999999,0.0,12.5
6,2020-01-02 06:00,0.015,0.2129999999999999,0.0,12.5
7,2020-01-02 07:00,0.0,0.804,0.0,12.5
8,2020-01-02 08:00,0.0269999999999999,1.179,0.0,12.5
9,2020-01-02 09:00,0.276,2.601,0.0,12.5
10,2020-01-02 10:00,0.243,1.38,0.0,12.5
11,2020-01-02 11:00,0.498,1.536,0.0,12.5
12,2020-01-02 12:00,0.399,1.596,0.0,12.5
13,2020-01-02 13:00,0.504,22.5,0.0,12.5
14,2020-01-02 14:00,0.159,1.596,0.0,12.5
15,2020-01-02 15:00,0.0569999999999999,0.5640000000000001,0.0,12.5
16,2020-01-02 16:00,0.0,5.562,0.0,12.5
17,2020-01-02 17:00,0.015,1.389,0.0,12.5
18,2020-01-02 18:00,0.0,13.233,0.0,12.5
19,2020-01-02 19:00,0.018,7.867199999999999,0.0,12.5
20,2020-01-02 20:00,0.012,2.6334000000000004,0.0,12.5
21,2020-01-02 21:00,0.006,1.362,0.0,12.5
22,2020-01-02 22:00,0.018,1.5750000000000002,0.0,12.5
23,2020-01-02 23:00,0.0,1.2018798,0.0,12.5
0,2020-01-03 00:00,0.0,1.689,0.0,12.5
1,2020-01-03 01:00,0.0,0.8679131999999999,0.0,12.5
2,2020-01-03 02:00,0.0,0.4179582,0.0,12.5
3,2020-01-03 03:00,0.0,0.288,0.0,12.5
4,2020-01-03 04:00,0.0,0.186,0.0,12.5
5,2020-01-03 05:00,0.009,0.474,0.0,12.5
6,2020-01-03 06:00,0.012,0.4589999999999999,0.0,12.5
7,2020-01-03 07:00,0.0269999999999999,0.591,0.0,12.5
